ID;Tipo;Descrição do Requisito (Resumo);Caso de Uso Relacionado;Módulo / Componente;Caso de Teste Relacionado;Prioridade;Status
RF01;Funcional;Medição de Distância (uso do HC-SR04 em 200 ms).;UC04 - Medir Distância;Módulo de Sensoriamento;CT01;Alta;Em Desenvolvimento
RF02;Funcional;Alerta Tátil Proporcional (vibração com intensidade proporcional à distância).;UC02 - Emitir Alerta Tátil;Módulo de Feedback Tátil;CT01, CT02, CT05;Alta;Em Desenvolvimento
RF03;Funcional;Captura de Imagem (a cada 100 ms se a distância for crítica).;UC07 - Capturar Imagem;Módulo de Captura;CT03;Alta;Pendente
RF04;Funcional;Reconhecimento de Objetos (disponibilizar inferência local ou via App).;UC08 - Reconhecer Objeto;Módulo de Processamento;—;Alta;Pendente
RF05;Funcional;Comunicação com App (transferência de dados, timestamp, confidence via BLE).;UC09 - Transmitir Dados;Módulo de Comunicação (BLE);CT03;Alta;Aprovado
RF06;Funcional;TTS no App (mensagens de áudio correspondentes ao evento).;UC03 - Emitir Alerta Sonoro;Módulo de Áudio (App);—;Média;Pendente
RF07;Funcional;Armazenamento Local (eventos/logs por 30 dias para análise offline).;UC10 - Armazenar Log;Módulo de Armazenamento;—;Alta;Aprovado
RF08;Funcional;Controles por Hardware (botão liga/desliga, silêncio temporário, etc.).;UC11 - Controlar Dispositivo;Controlador Principal;—;Média;Em Desenvolvimento
RF09;Funcional;Falha de Processamento (notificar se a inferência local falhar).;UC12 - Notificar Falha;Módulo de Processamento;—;Média;Pendente
RF10;Funcional;Atualização de Parâmetros via App (distância, sensibilidade, volume TTS).;UC05 - Calibrar Sensores;Interface de Configuração (App);—;Média;Pendente
RF11;Funcional;Verificar dispositivos pelo App (status de conexão/bateria).;UC13 - Monitorar Status;Módulo de Comunicação (App);—;Média;Aprovado
RF12;Funcional;Alerta de Bateria (ativação de alerta sonoro/TTS quando atingir nível crítico).;UC03 - Emitir Alerta Sonoro;Hardware / Energia;—;Alta;Em Análise
RF13;Funcional;"Confirmação de Inicialização (vibração + TTS ""Sistema Ativo"").";UC01 - Detectar Obstáculo;Módulo de Feedback Tátil;—;Alta;Em Desenvolvimento
RF14;Funcional;Modo de Silêncio Temporário (silenciar temporariamente todos os alertas).;UC11 - Controlar Dispositivo;Controlador Principal;—;Média;Aprovado
RF15;Funcional;Exportação de Logs de Teste (CSV/JSON para análise de desempenho offline).;UC10 - Armazenar Log;Módulo de Comunicação (App);—;Média;Pendente
RNF01;Não Funcional;Latência ponta-a-ponta (vibração < 400 ms).;—;Módulo de Sensoriamento;CT01 (Implícito);Alta;Em Desenvolvimento
RNF02;Não Funcional;Acurácia mínima de 70% em ambiente controlado.;—;Módulo de Sensoriamento;CT04 (Implícito);Alta;Em Análise
RNF03;Não Funcional;Autonomia mínima de 4 horas de uso típico.;—;Hardware / Energia;CT07 (Implícito);Alta;Em Análise
RNF04;Não Funcional;Interface de calibração acessível no App.;—;Interface de Configuração (App);CT05 (Implícito);Média;Pendente
RNF Outros;Não Funcional;Disponibilidade: 99.9% durante a sessão de uso.;—;Confiabilidade;—;Alta;Em Análise
RNF Outros;Não Funcional;Dados de usuários e logs armazenados localmente.;—;Segurança;—;Alta;Aprovado
RF01;Funcional;Medição de Distância (HC-SR04 em 200 ms);UC04 - Medir Distância;Firmware (ESP32);TC-MED-001;Alta;Pendente
RF02;Funcional;Alerta Tátil Proporcional;UC02 - Emitir Alerta Tátil;Firmware (ESP32);TC-ALR-002;Alta;Pendente
RF03;Funcional;Captura de Imagem (a cada 100 ms);UC07 - Capturar Imagem;Firmware (ESP32);TC-CAP-003;Alta;Pendente
RF04;Funcional;Reconhecimento de Objetos;UC08 - Reconhecer Objeto;Script Python (Backend);TC-REC-004;Alta;Pendente
RF05;Funcional;Comunicação com App (BLE);UC09 - Transmitir Dados;Firmware / App Mobile;TC-COM-005;Alta;Pendente
RF06;Funcional;TTS no App;UC03 - Emitir Alerta Sonoro;App Mobile;TC-TTS-006;Média;Pendente
RF09;Funcional;Falha de Processamento;UC12 - Notificar Falha;Backend, Firmware;TC-NOT-009;Média;Pendente
RF10;Funcional;Atualização de Parâmetros via App;UC05 - Calibrar Sensores;App Mobile, Firmware;TC-CAL-010;Alta;Pendente
RF11;Funcional;Verificar dispositivos pelo App;UC13 - Monitorar Status;App Mobile, Firmware;TC-MON-011;Média;Pendente
RF12;Funcional;Alerta de Bateria;UC03 - Emitir Alerta Sonoro;Firmware / App Mobile;TC-BAT-012;Alta;Pendente
RF13;Funcional;Confirmação de Inicialização;UC01 - Detectar Obstáculo;Firmware;TC-INI-013;Média;Pendente
RF14;Funcional;Modo de Silêncio Temporário;UC11 - Controlar Dispositivo;App Mobile;TC-SIL-014;Média;Pendente
RF15;Funcional;Exportação de Logs de Teste;UC10 - Armazenar Log;App Mobile;TC-LOG-015;Baixa;Pendente
RNF01;Não Funcional;Latência ponta-a-ponta (< 400 ms);—;Sistema (Geral);TC-PER-001;Alta;Pendente
RNF02;Não Funcional;Acurácia mínima (70%);—;Script Python;TC-PER-002;Alta;Pendente
RNF03;Funcional;[NOVO] Controle de Modo: Conexão WS;UC-09 - Transmitir Dados;App Mobile, Backend;TC-MOD-001 (Conectar WS);Alta;Pendente
RNF04;Funcional;[NOVO] Controle de Modo: Alternar para MANUAL;UC-11 - Controlar Dispositivo;App Mobile, Backend, Python;TC-MOD-002 (Mudar para Manual);Alta;Pendente
RNF Outros;Funcional;[NOVO] Controle de Modo: Alternar para REALTIME;UC-11 - Controlar Dispositivo;App Mobile, Backend, Python;TC-MOD-003 (Voltar para Realtime);Alta;Pendente
RNF Outros;Funcional;[NOVO] Controle de Modo: Captura Manual;UC-07 - Capturar Imagem;App Mobile, Python;TC-MOD-004 (Capturar Manualmente);Alta;Pendente
